Name.TF,Name.Target,label
Stat5a,Ptprm,1
Gata3,Sipa1l1,1
Kdm4c,Ilf3,1
Ncoa2,Nfix,1
Usf1,Pcolce,1
Gata2,Elmo3,1
Btaf1,Phc2,1
Insm1,Dido1,1
Med12,Rfx2,1
Fli1,Cacnb2,1
Tbp,Xkr5,1
Arid3a,Cited2,1
Ebf2,Hmgn2,1
Egr2,Map3k8,1
Srf,Rnf38,1
Med1,Rtn4rl1,1
Zic2,Gad1,1
Ebf1,Atxn7l1,1
Gata6,Vgll3,1
Esrrb,Ppp2r2c,1
Tbx20,Coro1c,1
Cebpb,Csf3r,1
Irf1,Bcl2l1,1
Rnf2,Tagln2,1
Runx1,Gsc,1
Prdm14,Pcolce,1
Smarca2,Mobp,1
Nkx2-1,Ybx1,1
Wt1,Dyrk2,1
Zfp57,Gli1,1
Fli1,Nr2f1,1
Pou5f1,Arhgef5,1
Zfp57,Irs2,1
Hand2,Ptpn14,1
Chd4,Srgap3,1
Tcf12,Sobp,1
Tead1,Liph,1
Tet1,Ubtd2,1
Vdr,Angpt2,1
Kdm3a,Pafah1b1,1
Ezh2,Tac1,1
Twist2,Gprc5b,1
Tcf7l2,Gm14137,1
Hoxa13,Taf15,1
Kat5,Prok2,1
Hes1,Trp53i11,1
Mxi1,Ndufa13,1
Elf5,Gnas,1
Lhx2,Pde8a,1
Pitx1,Tex14,1
Tcf12,Dtd1,1
Esr1,Ccdc8,1
Twist2,Alpl,1
Runx1,Celf2,1
Six4,Cdk2ap1,1
Ctcf,Plekha2,1
Chd4,Prkg2,1
Nr1d1,Nap1l1,1
Stat3,Hdac7,1
Runx2,Pou5f1,1
Jun,Lancl3,1
Irf3,Ccdc106,1
Bcl6,Tnfaip6,1
Atf4,Myh10,1
Brca1,Naa25,1
Taf12,Acsl4,1
Ets1,Lrp8,1
Zeb1,Hspa12b,1
Fos,Jph1,1
Klf4,Serbp1,1
Ehf,Vezt,1
Gata3,Faf2,1
Erf,Mzt1,1
Fli1,Bnip3,1
Snai1,Fbn1,1
Nr6a1,Cdc14a,1
Six2,Flrt1,1
Fos,Angpt1,1
Vdr,Pitpna,1
Tbx5,Mapk10,1
Erf,Tbx3,1
Rara,Purb,1
Rfx3,Cnn1,1
Onecut2,Sntb2,1
Rara,Nphs1,1
Srf,Hipk2,1
Hand2,Dlx6,1
Klf4,Tshz3,1
Utf1,Wnt3,1
Erg,Samd5,1
Jun,Ddx17,1
Ep300,Bhlhe40,1
Vdr,Celf3,1
Pknox1,Tnik,1
Foxp3,Adnp,1
Atf4,Iffo2,1
Pax3,Tbx18,1
Insm1,Zmynd8,1
Bmi1,Foxc1,1
Cebpa,Sh2d4a,1
Stat3,S100pbp,1
Rara,Gpc1,1
Junb,Med12l,1
Foxo3,Ndufa13,1
Atrx,Prune2,1
Zbtb17,Adnp,1
Tead4,Phlda3,1
Nipbl,Tet3,1
Nanog,Tuba1a,1
Sim2,Tcf7l2,1
Runx1,Cbx8,1
Klf5,Alpl,1
Fosl2,Ddit3,1
Smad3,Vapb,1
Maf,Rapgef3,1
Smarca4,Ppargc1b,1
Nanog,Msn,1
Dnmt3b,Ehmt1,1
Cebpb,Dusp10,1
Gata2,Mgat4c,1
Smc3,Tm9sf3,1
Erg,Lasp1,1
Ncor1,Irx2,1
Zfpm1,Aspscr1,1
Clock,Ndufa13,1
Ebf2,Cnr1,1
E2f1,Ntm,1
Zfp57,Mal2,1
Stat5a,Ehmt1,1
Jund,Sez6,1
Hoxb4,Mlec,1
Otx2,Kctd1,1
Elf1,Rlim,1
Ebf2,Rab30,1
Isx,Aebp2,1
Plagl1,Ing3,1
Tbp,Setbp1,1
Onecut2,Trim2,1
Sall4,Celf2,1
Atf2,Srsf2,1
Hoxa13,Sec16b,1
Nfic,Mbp,1
Runx1,Hspa4l,1
Cbfb,Zbtb38,1
Eed,Adcy1,1
Suz12,Casq1,1
Rad21,Klf2,1
Rara,Wnt2,1
Tbx3,Acsf2,1
Cebpa,Ube2b,1
Cebpa,Prtg,1
Stat1,Pdzrn4,1
Egr2,Tmem43,1
Smad4,Mapt,1
Rnf2,Prss23,1
Fosl2,Appl1,1
Ehf,Hdgf,1
Hoxb5,Dlg1,1
Ascl1,Fam53b,1
