Gene1,Gene2,label
REST,NOTCH2,0
HDAC6,MXI1,1
SMC3,CCNL1,1
TBL1X,FAM98B,1
SUZ12,MED23,1
JUND,TRIM28,1
EZH2,CPPED1,0
SOX9,NMBR,0
MYC,CCNC,1
CDK12,NOL11,0
HNF1B,ZNF143,0
BRD3,MRPS18C,1
FOXA1,PCGF1,1
CREB1,RXRA,1
CDK12,CBWD3,0
HNF1B,EGR1,1
HSF1,GSN,1
ASXL1,NOL7,1
ZBTB40,KIAA0895,0
DDX20,NOL7,0
CTBP2,PARK7,0
TET1,MTF2,1
DDX20,TEFM,0
NUP98,GBA,0
PAX7,NRF1,0
ZNF274,DST,1
ZNF76,NIPBL,0
NR2F1,CBWD6,0
SMAD1,SSBP1,1
ZNF76,SIN3A,0
HDAC6,NOLC1,0
BRCA1,EMG1,1
NANOG,BACH1,1
NIPBL,MYC,1
DMAP1,RWDD1,1
BRD2,TET2,1
NUP98,POLR3B,1
YAP1,PPIH,0
SOX17,UBAP2,0
TP63,USP30,1
EZH2,KLHL12,1
BRD2,INTS5,1
GTF2F1,NCBP2,1
PRDM1,CCDC90B,0
RFX5,DMAP1,1
YAP1,UBB,0
HNF1B,WDPCP,0
SP4,FOXM1,0
CTBP2,POR,0
ZFP91,RPS7,0
BANP,HSPE1,0
RBPJ,MTRNR2L6,0
SIRT6,SLC24A1,0
KLF5,KPNB1,1
TET2,DPP9,1
CUL4A,ERLIN2,1
YAP1,GARS,0
DDX20,MED23,0
CHD7,TFAP2C,0
SIX5,INTS12,1
FOXH1,PARL,1
PALB2,DNAJB9,0
OTX2,RUVBL1,1
FOS,DNAJB9,1
SP1,PRDM1,1
BRD1,SNAPC5,0
GABPA,ABCA3,1
TFAP2C,EFCAB7,1
FOXM1,OTX2,0
SNAI2,ATF3,0
EOMES,PHB2,0
EZH2,TNPO1,1
RNF2,UCHL1,1
CREB1,SOD2,1
ATF2,TEAD4,1
RFX5,RBBP5,1
TAF7,CTCF,0
SMAD3,MXI1,1
ZNF207,STOML2,1
RBBP5,EP300,1
PHF8,C10orf88,1
ZBTB40,IFRD2,1
INTS12,MTRNR2L10,0
HAND2,SALL4,0
UBTF,WBP4,1
EZH2,HEXIM2,0
MAX,WDR31,1
PHF8,TAF2,1
CTBP2,AHCY,0
ZNF331,GSTCD,1
EPC1,DSTYK,0
RBM39,HSPE1-MOB4,0
RXRA,CELSR3,1
ZBTB40,ARL4A,0
CHD7,SOD2,1
RBM39,MTRNR2L2,0
MLLT3,NUP107,0
NUP98,NSA2,0
EPC1,JUN,0
FOXA1,GARS,0
BACH1,ZCCHC4,0
EZH2,SAR1B,1
TAF2,POLG,0
CUL4A,EEF1A1,0
PCGF1,EI24,1
CUL4A,KDM2B,1
KDM4A,PCID2,1
BRD4,SMARCD2,1
HSF1,NFYC,1
ASXL1,ZNF3,1
KDM5A,RUVBL1,1
SP2,NANOG,0
MXI1,PSMD6,1
TAF2,MTIF2,1
THAP11,TET2,0
AR,STOML2,1
HNF1B,NR1H3,0
GFI1B,FGD6,1
NR5A2,AMD1,0
BCOR,NAT10,1
KDM5B,DNMT3B,1
RYBP,CTDP1,1
