Gene1,Gene2,label
NANOG,RUVBL1,1.0
NANOG,RAB37,1.0
NANOG,DNAJC11,1.0
NANOG,WDR36,1.0
NANOG,RNF2,0.0
NANOG,YTHDF2,1.0
NANOG,TIGD6,1.0
NANOG,GSTCD,1.0
NANOG,FAHD1,1.0
NANOG,UBR4,0.0
NANOG,ETFDH,1.0
NANOG,ZMPSTE24,1.0
NANOG,SOCS4,1.0
NANOG,SSBP1,1.0
NANOG,TRMT2A,1.0
NANOG,ATG5,1.0
NANOG,C1QTNF6,1.0
NANOG,NR2F2,0.0
NANOG,ACP2,1.0
NANOG,MTRNR2L2,1.0
NANOG,BANF1,0.0
NANOG,LUC7L2,1.0
NANOG,TIMM22,1.0
NANOG,PCID2,1.0
NANOG,MDM2,1.0
NANOG,DST,1.0
NANOG,MEST,1.0
NANOG,NR5A2,0.0
NANOG,MIPEP,0.0
NANOG,EIF2B1,1.0
NANOG,RNF141,1.0
NANOG,SMG7,1.0
NANOG,HSPE1-MOB4,1.0
NANOG,EFCAB7,1.0
NANOG,AHCYL1,1.0
NANOG,PAAF1,1.0
NANOG,PHF8,0.0
NANOG,STEAP2,1.0
NANOG,DARS2,1.0
NANOG,CHD2,0.0
NANOG,TRMT61B,1.0
NANOG,HIST1H4K,1.0
NANOG,G3BP1,1.0
NANOG,BACH1,0.0
NANOG,FOXH1,0.0
NANOG,MAN2C1,1.0
NANOG,C10orf88,1.0
NANOG,HPD,1.0
NANOG,AMOTL2,1.0
NANOG,HAND1,0.0
NANOG,SLC33A1,1.0
NANOG,COMMD2,1.0
NANOG,ALG3,0.0
NANOG,ZBTB40,1.0
NANOG,KDM5B,0.0
NANOG,RBPJ,1.0
NANOG,CCDC77,1.0
NANOG,MCOLN1,1.0
NANOG,PRDM1,0.0
NANOG,AP3B1,1.0
NANOG,PCNA,1.0
NANOG,POR,1.0
NANOG,SSBP2,1.0
NANOG,HNF4A,0.0
NANOG,SLC4A2,1.0
NANOG,SLC35A3,1.0
NANOG,DCAF11,1.0
NANOG,KDM1A,1.0
NANOG,EIF2D,0.0
NANOG,FAF1,1.0
NANOG,LEF1,0.0
NANOG,TUT1,1.0
NANOG,GTPBP10,1.0
NANOG,RPL27,1.0
NANOG,SEC14L1,1.0
NANOG,UBFD1,1.0
NANOG,ADAT2,1.0
NANOG,TBC1D19,1.0
NANOG,PPIH,1.0
NANOG,FAM216A,1.0
NANOG,GRWD1,1.0
NANOG,NOLC1,1.0
NANOG,FASTKD5,1.0
NANOG,HSF1,0.0
NANOG,TEAD4,0.0
NANOG,COPS7B,1.0
NANOG,PRUNE2,1.0
NANOG,ALG10B,1.0
NANOG,RYBP,0.0
NANOG,ANAPC13,1.0
NANOG,EMG1,1.0
NANOG,RPL5,1.0
NANOG,PRICKLE1,1.0
NANOG,RAD21,0.0
NANOG,SALL4,0.0
NANOG,MAST4,1.0
NANOG,NR2F1,0.0
NANOG,RPS6,1.0
NANOG,TIGD1,1.0
NANOG,SH2B1,1.0
NANOG,MRPL21,1.0
NANOG,INTS12,1.0
NANOG,IFRD1,1.0
NANOG,CTCF,0.0
NANOG,SECISBP2,0.0
NANOG,PSMA1,1.0
