Gene1,Gene2,label
EP300,IFT172,0.0
EP300,HIST2H4A,1.0
EP300,THUMPD1,1.0
EP300,CACYBP,1.0
EP300,AHCY,1.0
EP300,METTL8,1.0
EP300,RXRA,0.0
EP300,DENR,1.0
EP300,TRAPPC3,1.0
EP300,QPRT,1.0
EP300,ALDOA,1.0
EP300,BPTF,1.0
EP300,WDR92,1.0
EP300,HELQ,1.0
EP300,RBBP6,1.0
EP300,GPSM3,0.0
EP300,NBR1,1.0
EP300,MTG1,1.0
EP300,GNAL,1.0
EP300,BLOC1S5,1.0
EP300,EFTUD2,1.0
EP300,DHRS4L2,1.0
EP300,PNN,1.0
EP300,NARF,0.0
EP300,YARS,1.0
EP300,GCC2,1.0
EP300,TERF2,1.0
EP300,ETFDH,1.0
EP300,CCDC115,1.0
EP300,TXNL1,1.0
EP300,AP3M2,1.0
EP300,WDR11,1.0
EP300,SLC25A36,1.0
EP300,HIST1H4H,1.0
EP300,SLC35A5,1.0
EP300,ZNF276,1.0
EP300,MAZ,1.0
EP300,XRN2,1.0
EP300,HMGCR,1.0
EP300,CHN2,1.0
EP300,HBS1L,1.0
EP300,DHODH,1.0
EP300,ADAT2,1.0
EP300,PPIL3,1.0
EP300,MRPL21,1.0
EP300,RBBP5,1.0
EP300,OSGEP,1.0
EP300,FAM168B,1.0
EP300,NOMO1,1.0
EP300,SEPT9,1.0
EP300,CASC3,1.0
EP300,TEN1,1.0
EP300,USO1,1.0
EP300,TNFRSF10D,1.0
EP300,COMMD9,1.0
EP300,TTC3,1.0
EP300,ZKSCAN2,1.0
EP300,RAD23A,1.0
EP300,GPCPD1,1.0
EP300,RBPJ,1.0
EP300,TPRKB,1.0
EP300,OSGEPL1,1.0
EP300,ORC4,1.0
EP300,FER,0.0
EP300,ZER1,1.0
EP300,LAMTOR5,1.0
EP300,PRKCSH,1.0
EP300,RNF19A,1.0
EP300,GNE,1.0
EP300,ZNF490,1.0
EP300,PDS5A,1.0
EP300,RUVBL2,0.0
EP300,GDF15,1.0
EP300,PSMD6,1.0
EP300,CCDC58,1.0
EP300,DNAJC27,1.0
EP300,ANXA4,1.0
EP300,TFB1M,1.0
EP300,FBXO31,1.0
EP300,C1GALT1,1.0
EP300,NDUFB6,1.0
EP300,VPS4A,1.0
EP300,LYRM1,1.0
EP300,FAM126B,1.0
EP300,CUTC,1.0
EP300,ZNF148,1.0
EP300,TTC14,1.0
EP300,SIN3A,0.0
EP300,SPAST,1.0
EP300,CDIPT,1.0
EP300,KDM1A,1.0
EP300,INTS5,1.0
EP300,DIAPH1,1.0
EP300,AP1G1,1.0
EP300,MYLIP,0.0
EP300,EPC1,0.0
