TF,Target,Label,Score
Mtf1,Abi3,0,0
Mtf1,Irs2,0,0
Mtf1,Cga,0,0
Mtf1,Stmn1,0,0
Mtf1,A230050P20Rik,0,0
Mtf1,Lefty2,0,0
Mtf1,Ptp4a3,0,0
Mtf1,Ptpn5,0,0
Mtf1,Wnt2b,0,0
Mtf1,Ppp1r1a,0,0
Mtf1,Dgkh,0,0
Mtf1,Sst,0,0
Mtf1,Hpgd,0,0
Mtf1,Syne1,0,0
Mtf1,Zdhhc9,0,0
Mtf1,Cdh3,0,0
Mtf1,Actn3,0,0
Mtf1,Fkbp5,0,0
Mtf1,Dnajb12,0,0
Mtf1,Fam78b,0,0
Mtf1,Hoxb3,0,0
Mtf1,Tmem136,0,0
Mtf1,Col4a2,0,0
Mtf1,Zfp703,0,0
Mtf1,Farp1,0,0
Mtf1,Slc6a6,0,0
Mtf1,Acsf2,0,0
Mtf1,Ptprv,0,0
Mtf1,Pde10a,0,0
Mtf1,Bend5,0,0
Mtf1,Dyrk2,0,0
Mtf1,Speg,0,0
Mtf1,Kdm3a,0,0
Mtf1,Phc2,0,0
Mtf1,Gprc5c,0,0
Mtf1,Odf2,0,0
Mtf1,Ubox5,0,0
Mtf1,Tug1,0,0
Mtf1,Fjx1,0,0
Mtf1,Tead3,0,0
Mtf1,Ptprm,0,0
Mtf1,Capn6,0,0
Mtf1,Dchs1,0,0
Mtf1,Nebl,0,0
Mtf1,Rnf11,0,0
Mtf1,Dlx1as,0,0
Sox4,Cyp26a1,0,0
Sox4,Syt6,0,0
Sox4,Hdac9,1,999
Sox4,Nfix,1,999
Sox4,Cnr1,1,999
Sox4,Pcgf3,1,999
Sox4,Nefl,0,0
Sox4,Kcnmb4,1,999
Sox4,App,0,0
Sox4,Zfp697,1,999
Sox4,Pdgfra,0,0
Sox4,Lmo4,1,999
Sox4,Vapb,0,0
Sox4,Fosb,0,0
Sox4,Lgi1,1,999
Sox4,Pcyt1b,0,0
Sox4,E2f1,0,0
Sox4,Rfx3,0,0
Sox4,Ehmt2,1,999
Sox4,Cbln1,1,999
Sox4,Tnpo1,1,999
Sox4,Dusp6,1,999
Sox4,Dleu2,1,999
Sox4,Ier5l,1,999
Sox4,Vash2,1,999
Sox4,Srrm4,1,999
Sox4,Sp5,1,999
Sox4,Mtdh,1,999
Sox4,Zfp827,0,0
Sox4,Efnb2,1,999
Sox4,Zfhx4,0,0
Sox4,Prkce,0,0
Sox4,Ppp1r14b,1,999
Sox4,Lhx2,1,999
Sox4,Tcf7l2,1,999
Sox4,Mlec,0,0
Sox4,Sema6a,0,0
Sox4,Hoxb7,1,999
Sox4,Fblim1,1,999
Sox4,Mrvi1,0,0
Sox4,Dlx6os1,1,999
Sox4,Zfp277,1,999
Sox4,Smo,1,999
Sox4,Mapre2,1,999
Sox4,Fbln5,1,999
Sox4,Mark1,0,0
Sox4,Nnat,0,0
Sox4,Hnrnpab,1,999
Sox4,Zfp503,0,0
Sox4,Ptprd,1,999
Sox4,Osm,0,0
Sox4,Pdp1,1,999
Sox4,Hoxb9,1,999
Sox4,Shox2,1,999
Sox4,Zfp608,1,999
Sox4,Zfp536,1,999
Sox4,Prg4,0,0
Sox4,Brd3,1,999
Sox4,Egr3,1,999
Sox4,Fam46a,0,0
Sox4,Pcbp4,1,999
Sox4,Ctbp2,0,0
Sox4,Klhl24,1,999
Sox4,9330182L06Rik,0,0
Sox4,Cpsf4l,0,0
Sox4,Cacnb3,1,999
Sox4,Eif4ebp1,0,0
Sox4,Strn,0,0
Sox4,Chsy1,0,0
Sox4,Zfp710,1,999
Sox4,Lhx9,1,999
Sox4,Dhrs3,1,999
Sox4,Uck2,0,0
Sox4,Hoxd3,0,0
Sox4,Sema3c,0,0
Sox4,Zfp146,1,999
Sox4,En2,1,999
Sox4,Igdcc3,1,999
Sox4,Appl1,0,0
Sox4,Kdm3a,1,999
Sox4,Rai1,0,0
Sox4,Map4k4,1,999
Sox4,Otx2,1,999
Sox4,Igsf1,1,999
Sox4,Plec,0,0
Sox4,Rnf38,1,999
Sox4,Nol4,1,999
Sox4,Fap,1,999
Sox4,Ubr3,0,0
Sox4,Dap3,1,999
Sox4,Robo1,0,0
Sox4,Lrrc4,1,999
Sox4,Pabpn1,0,0
Sox4,Mobp,1,999
Sox4,Phldb1,1,999
Sox4,Ndst1,0,0
Sox4,Pappa,1,999
Sox4,Ube2k,0,0
Sox4,Klf9,1,999
Sox4,Sulf1,1,999
Sox4,Mov10,0,0
Sox4,Foxo4,1,999
Sox4,Cdkn1c,1,999
Sox4,Lemd1,0,0
Sox4,Klf7,1,999
Sox4,Fbxo36,0,0
Sox4,Khdrbs1,1,999
Sox4,Insm1,1,999
Sox4,Kif21b,1,999
Sox4,Dlx1as,1,999
Aes,Mex3b,0,0
Aes,Prss23,0,0
Aes,Prmt8,0,0
Aes,Brd2,0,0
Aes,Ctcf,0,0
Aes,Csnk2a2,0,0
Aes,Nsmaf,0,0
Aes,Smarca2,0,0
Aes,Oaf,0,0
Aes,Npas3,0,0
Aes,Dleu2,0,0
Aes,Cacna2d2,0,0
Aes,Smarca1,0,0
Aes,Sumo3,0,0
Aes,Pcf11,0,0
Aes,Grhl2,0,0
Aes,Lhx2,0,0
Aes,Wnt7a,0,0
Aes,Hpgd,0,0
Aes,Epha1,0,0
Aes,Igf2bp3,0,0
Aes,Aatf,0,0
Aes,Dmkn,0,0
Aes,Ddah2,0,0
Aes,Mycn,0,0
Aes,Nipal4,0,0
Aes,Itga10,0,0
Aes,Bcas3,0,0
Aes,Triobp,0,0
Aes,Elovl5,0,0
Aes,Shmt1,0,0
Aes,Dab1,0,0
Aes,Zc3h12a,0,0
Aes,Lhx9,0,0
Aes,Kcna6,0,0
Aes,Gnas,0,0
Aes,Cbfa2t3,0,0
Aes,Ubr5,0,0
Aes,Ino80,0,0
Aes,Ddx17,0,0
Aes,Gadd45g,0,0
Aes,Rcan2,0,0
Aes,Nol4,0,0
Aes,Igf1r,0,0
Aes,Rspo2,0,0
Aes,Tgfb1,0,0
Aes,Setd5,0,0
Aes,Tbx15,0,0
Aes,Prrx1,0,0
Aes,Foxj2,0,0
Aes,Trpc4,0,0
Aes,Cav1,0,0
Aes,Sox2,0,0
Rnf2,Cyp26a1,0,0
Rnf2,Trpm3,0,0
Rnf2,Mreg,0,0
Rnf2,Tpbg,0,0
Rnf2,Gpr85,0,0
Rnf2,Bmp2,0,0
Rnf2,Pde1b,0,0
Rnf2,Ptpn21,0,0
Rnf2,Stag3,0,0
Rnf2,Lgi1,0,0
Rnf2,Kcnk2,0,0
Rnf2,Prdm11,0,0
Rnf2,Socs2,0,0
Rnf2,Hist1h1e,0,0
Rnf2,Cdh2,0,0
Rnf2,Tab2,0,0
Rnf2,Pde8a,0,0
Rnf2,Bhlhe22,0,0
Rnf2,Epha1,0,0
Rnf2,Kdm3b,0,0
Rnf2,Kat5,0,0
Rnf2,Ppm1e,0,0
Rnf2,Hoxa1,0,0
Rnf2,4933434E20Rik,0,0
Rnf2,Ovol2,0,0
Rnf2,Acsf2,0,0
Rnf2,Actg2,0,0
Rnf2,Pea15a,0,0
Rnf2,Sumo2,0,0
Rnf2,Rims2,0,0
Rnf2,Ptprv,0,0
Rnf2,9130024F11Rik,0,0
Rnf2,Ntng1,0,0
Rnf2,Tmeff1,0,0
Rnf2,Matn2,0,0
Rnf2,Ntm,0,0
Rnf2,Foxc2,0,0
Rnf2,Ildr2,0,0
Rnf2,Tbx20,0,0
Rnf2,Spns3,0,0
Rnf2,Lima1,0,0
Rnf2,Irx2,0,0
Rnf2,Sncb,0,0
Rnf2,Yes1,0,0
Rnf2,Cacng4,0,0
Rnf2,Bcl11b,0,0
Rnf2,Fam102b,0,0
Rnf2,Kirrel,0,0
Rnf2,En1,0,0
Rnf2,Nck2,0,0
Rnf2,Slc22a15,0,0
Rnf2,Ptms,0,0
Rnf2,Clcn3,0,0
Rnf2,Ppp2r5c,0,0
Rnf2,Xkr5,0,0
Rnf2,Ccdc64,0,0
Rnf2,Eomes,0,0
Rnf2,Dlx6,0,0
Tcf7l2,Mex3b,1,999
Tcf7l2,Ino80d,1,999
Tcf7l2,Cdh11,1,999
Tcf7l2,Cul1,0,0
Tcf7l2,Pfn2,0,0
Tcf7l2,AU040320,1,999
Tcf7l2,Ptpn21,0,0
Tcf7l2,Zbtb11,0,0
Tcf7l2,Kcnmb4,1,999
Tcf7l2,Rfx2,0,0
Tcf7l2,Nat8l,0,0
Tcf7l2,Capzb,0,0
Tcf7l2,Lmo4,1,999
Tcf7l2,Cdk17,0,0
Tcf7l2,Meis2,1,999
Tcf7l2,Pdzrn3,0,0
Tcf7l2,Trps1,1,999
Tcf7l2,Btbd11,0,0
Tcf7l2,Pcdh8,1,999
Tcf7l2,Cbln1,1,999
Tcf7l2,Pim2,1,999
Tcf7l2,Baz1a,0,0
Tcf7l2,Stk10,0,0
Tcf7l2,Suz12,1,999
Tcf7l2,Zmat4,1,999
Tcf7l2,Sp5,1,999
Tcf7l2,Amotl2,1,999
Tcf7l2,Zfp827,1,999
Tcf7l2,Ybx1,1,999
Tcf7l2,Tcf7l2,1,999
Tcf7l2,Rarg,0,0
Tcf7l2,Dpp4,1,999
Tcf7l2,Ctgf,1,999
Tcf7l2,Prickle1,1,999
Tcf7l2,Fblim1,1,999
Tcf7l2,Mecom,1,999
Tcf7l2,Actn3,0,0
Tcf7l2,Dach1,1,999
Tcf7l2,Rel,0,0
Tcf7l2,Myh9,0,0
Tcf7l2,Zfp703,1,999
Tcf7l2,Pacsin1,0,0
Tcf7l2,Zfp503,0,0
Tcf7l2,Mn1,1,999
Tcf7l2,Egr1,0,0
Tcf7l2,Sort1,0,0
Tcf7l2,Hoxb9,1,999
Tcf7l2,Mbnl1,0,0
Tcf7l2,Id3,0,0
Tcf7l2,Ptp4a2,0,0
Tcf7l2,Ets1,1,999
Tcf7l2,Rap1b,0,0
Tcf7l2,Klhl24,1,999
Tcf7l2,Dpf3,0,0
Tcf7l2,Ube4b,1,999
Tcf7l2,Srsf1,0,0
Tcf7l2,Zfp710,1,999
Tcf7l2,Auts2,1,999
Tcf7l2,Zmym3,0,0
Tcf7l2,Qars,0,0
Tcf7l2,Rspo3,1,999
Tcf7l2,1700025G04Rik,0,0
Tcf7l2,Cnn2,0,0
Tcf7l2,Lrrc41,0,0
Tcf7l2,Ino80,0,0
Tcf7l2,Dpysl3,1,999
Tcf7l2,Mcf2,1,999
Tcf7l2,Tug1,0,0
Tcf7l2,Nuak1,0,0
Tcf7l2,Rras,0,0
Tcf7l2,Camk2b,0,0
Tcf7l2,Hdgf,1,999
Tcf7l2,Col1a1,0,0
Tcf7l2,Zic3,1,999
Tcf7l2,Bnc2,1,999
Tcf7l2,Tdgf1,0,0
Tcf7l2,Nr4a1,1,999
Tcf7l2,Irx3,1,999
Tcf7l2,Rab1b,1,999
Tcf7l2,Pcdh7,1,999
Tcf7l2,Krt17,0,0
Tcf7l2,Etv1,1,999
Tcf7l2,Galnt13,0,0
Tcf7l2,Setbp1,0,0
Tcf7l2,Prkrir,0,0
Tcf7l2,Vgll3,0,0
Tcf7l2,Klf9,1,999
Tcf7l2,Clcn3,1,999
Tcf7l2,Dbn1,0,0
Tcf7l2,Sh3gl2,1,999
Tcf7l2,Frmd4a,1,999
Tcf7l2,Ddc,0,0
Elf5,Ptprg,1,999
Elf5,Batf2,1,999
Elf5,Ralyl,1,999
Elf5,Gm5577,0,0
Elf5,Nme2,1,999
Elf5,Rrbp1,0,0
Elf5,Ltbr,1,999
Elf5,Stag3,0,0
Elf5,Zfp697,0,0
Elf5,Zbtb7b,1,999
Elf5,Oaf,1,999
Elf5,Hoxc4,1,999
Elf5,Cdh4,1,999
Elf5,Il7,1,999
Elf5,Lcorl,1,999
Elf5,Ccdc28a,1,999
Elf5,Zmat4,1,999
Elf5,Kdm2b,1,999
Elf5,Smarca1,1,999
Elf5,Afp,1,999
Elf5,Lck,1,999
Elf5,Itga11,1,999
